cat stevens,peace train,now ive been happy lately & thinking about the good things to come & and i believe it could be & something good has begun & ive been smiling lately & dreaming about the world as one & and i believe it could be & something goods bound to come & for out on the edge of darkness & there runs the peace train & peace train take this country & come take me home again & peace train sounding louder & ride on the peace train & hooaheehahhooah & come on the peace train & peace trains a holy roller & everyone jump upon the peace train & hooaheehahhooah & this is the peace train & get your bags together & come bring your good friends too & because its getting nearer & soon it will be with you & come and join the living & its not so far from you & and its getting nearer & soon it will all be true & peace train sounding louder & ride on the peace train & hooaheehahhooah & come on the peace train & ive been crying lately & thinking about the world as it is & why must we go on hating & why cant we live in bliss & for out on the edge of darkness & there rides the peace train & peace train take this country & come take me home again & peace train sounding louder & ride on the peace train & hooaheehahhooah & come on the peace train & come on come on come on the peace train &,,,,
cat stevens,father and son,its not time to make a change & just relax take it easy & youre still young thats your fault & theres so much you have to know & find a girl settle down & if you want you can marry & look at me i am old but im happy & i was once like you are now & and i know that its not easy & to be calm when youve found & something going on & but take your time think a lot & think of everything youve got & for you will still be here tomorrow & but your dreams may not & how can i try to explain & when i do he turns away again & its always been the same same old story & from the moment i could talk & i was ordered to listen & now theres a way & and i know that i have to go away & i know i have to go & its not time to make a change & just sit down take it slowly & youre still young thats your fault & theres so much you have to go through & find a girl settle down & if you want you can marry & look at me i am old but im happy & all the times that ive cried & keeping all the things i knew inside & its hard but its harder to ignore it & if they were right id agree & but its them they know not me & now theres a way & and i know that i have to go away & i know i have to go & cat stevens &,oh very young,oh very young what will you leave us this time & you're only dancin' on this earth for a short while & and though your dreams may toss and turn you now & they will vanish away like your dads best jeans & denim blue faded up to the sky & and though you want them to last forever & you know they never will & (you know they never will) & and the patches make the goodbye harder still. & oh very young what will you leave us this time & there'll never be a better chance to change your mind & and if you want this world to see a better day & will you carry the words of love with you & will you ride the great white bird into heaven & and though you want to last forever & you know you never will & (you know you never will) & and the goodbye makes the journey harder still. & will you carry the words of love with you & will you ride oh oooh & oh very young what will you leave us this time & you're only dancin' on this earth for a short while & oh very young what will you leave us this time &,,
adele,hello,hello its me & i was wondering if after all these years youd like to meet & to go over everything & they say that times supposed to heal ya & but i aint done much healing & hello can you hear me & im in california dreaming about who we used to be & when we were younger and free & ive forgotten how it felt before the world fell at our feet & theres such a difference between us & and a million miles & hello from the other side & i mustve called a thousand times & to tell you im sorry & for everything that ive done & but when i call you never & seem to be home & hello from the outside & at least i can say that ive tried & to tell you im sorry & for breaking your heart & but it dont matter it clearly & doesnt tear you apart anymore & hello how are you & its so typical of me to talk about myself im sorry & i hope that youre well & did you ever make it out of that town & where nothing ever happened & its no secret & that the both of us & are running out of time & so hello from the other side (other side) & i mustve called a thousand times (thousand times) & to tell you im sorry & for everything that ive done & but when i call you never & seem to be home & hello from the outside (outside) & at least i can say that ive tried (ive tried) & to tell you im sorry & for breaking your heart & but it dont matter it clearly & doesnt tear you apart anymore & oh anymore & oh anymore & oh anymore & anymore & hello from the other side (other side) & i mustve called a thousand times (thousand times) & to tell you im sorry & for everything that ive done & but when i call you never & seem to be home & hello from the outside (outside) & at least i can say that ive tried (ive tried) & to tell you im sorry & for breaking your heart & but it dont matter it clearly & doesnt tear you apart anymore &,,,,
adele,hometown glory,ive been walking in the same way as i did & missing out the cracks in the pavement & and turning my heel and strutting my feet & is there anything i can do for you dear & is there anyone i could call & no and thank you please madam & i aint lost just wandering & round my hometown & memories are fresh & round my hometown & ooh the people ive met & are the wonders of my world & are the wonders of my world & are the wonders of this world & are the wonders of now & i like it in the city when the air is so thick and opaque & i love to see everybody in short skirts shorts and shades & i like it in the city when two worlds collide & you get the people and the government & everybody taking different sides & shows that we aint gonna stand shit & shows that we are united & shows that we aint gonna take it & shows that we aint gonna stand shit & shows that we are united & round my hometown & memories are fresh & round my hometown & ooh the people ive met yea & are the wonders of my world & are the wonders of my world & are the wonders of this world & are the wonders of my world & of my world yeah & of my world & of my world yeah &,,,,
adele,someone like you,i heard that youre settled down & that you found a girl and youre married now & i heard that your dreams came true & guess she gave you things i didnt give to you & old friend why are you so shy & aint like you to hold back or hide from the light & i hate to turn up out of the blue uninvited & but i couldnt stay away i couldnt fight it & i had hoped youd see my face and that youd be reminded & that for me it isnt over & never mind ill find someone like you & i wish nothing but the best for you two & dont forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead & sometimes it lasts in love but sometimes it hurts instead & you know how the time flies & only yesterday was the time of our lives & we were born and raised in a summer haze & bound by the surprise of our glory days & i hate to turn up out of the blue uninvited & but i couldnt stay away i couldnt fight it & i had hoped youd see my face and that youd be reminded & that for me it isnt over & never mind ill find someone like you & i wish nothing but the best for you two & dont forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead yeah & nothing compares no worries or cares & regrets and mistakes theyre memories made & who would have known how bittersweet this would taste & never mind ill find someone like you & i wish nothing but the best for you & dont forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead & never mind ill find someone like you & i wish nothing but the best for you two & dont forget me i beg i remember you said & sometimes it lasts in love but sometimes it hurts instead & sometimes it lasts in love but sometimes it hurts instead &,,,,
everclear,everything to everyone,you put yourself in stupid places & yes i think you know its true & situations where its easy to look down on you & i think you like to be the victim & i think you like to be in pain & i think you make yourself a victim & almost every single day & chorus & you do what you do & you say what you say & you try to be everything to everyone & you know all the right people & you play all the right games & you always try to be & everything to everyone & yeah you do it again & you always do it again & you say they taught you how to read and write & they taught you how to count & i say they taught you how to buy and sell & your own body by the pound & i think you like to be their simple toy & i think you love to play the clown & i think you are blind to the fact & that the hand you hold & is the hand that holds you down & chorus & spin around and fall down & do it again & you stumble and you fall & yeah why wont you ever learn & spin around and fall down & do it again & you stumble and you fall & i wonder if you will ever learn & why wont you ever learn & come on now & do that stupid dance for me & you do what they tell you to do & you say what they say & you try to be everything to everyone & you jump through the big hoop & you play all the right games & you try to be & everything to everyone & spin around and fall down & do it again & you stumble and you fall & yeah you do it again & spin around and fall down & do it again & you stumble and you fall &,,,,
everclear,i will buy you a new life,here is the money that i owe you & yes you can pay the bills & i will give you more & when i get paid again & i hate those people who love to tell you & money is the root of all that kills & they have never been poor & they have never had the joy of a welfare christmas & i know we will never look back & you say you wake up crying & yes and you dont know why & you get up and you go lay down & inside my babys room & yeah i guess im doing ok & i moved in with the strangest guy & can you believe he actually thinks & that i am really alive & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & yes i will & yes i know all about that other guy & the handsome man with athletic thighs & i know about all the time before & with that obsessive little rich boy & they might make you think youre happy & yeah maybe for a minute or two & they cant make you laugh & no they cant make you feel the way that i do & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & i will buy you a new life & i know we can never look back & will you please let me stay the night & will you please let me stay the night & no one will ever know & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & i will buy you a garden & where your flowers can bloom & i will buy you a new car & perfect shiny and new & i will buy you that big house & way up in the west hills & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life & i will buy you a new life &,,,,
everclear,santa monica,i am still living with your ghost & lonely and dreaming of the west coast & i dont want to be your downtime & i dont want to be your stupid game & with my big black boots and an old suitcase & i do believe ill find myself a new place & i dont want to be the bad guy & i dont want do your sleepwalk dance anymore & i just want to see some palm trees & i will try and shake away this disease & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & i am still dreaming of you face & hungry and hollow for all the things you took away & i dont want to be your good time & i dont want to be your fallback crutch anymore & ill walk right out into a brand new day & insane and rising in my own weird way & i dont want to be the bad guy & i dont want to do your sleepwalk dance anymore & i just want to feel some sunshine & i just want to find some place to be alone & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & we can live beside the ocean & leave the fire behind & swim out past the breakers & watch the world die & yeah watch the world die & yeah watch the world die & yeah watch the world die & yeah watch the world die &,,,,
everclear,father of mine,father of mine & tell me where have you been & you know i just closed my eyes & my whole world disappeared & father of mine & take me back to the day & when i was still your golden boy & back before you went away & i remember the blue skies & walking the block & i loved it when you held me high & i loved to hear you talk & you would take me to the movie & you would take me to the beach & you would take me to a place inside & that is so hard to reach & father of mine & tell me where did you go & you had the world inside your hand & but you did not seem to know & father of mine & tell me what do you see & when you look back at your wasted life & and you dont see me & i was ten years old & doing all that i could & it wasnt easy for me & to be a scared white boy & in a black neighborhood & sometimes you would send me a birthday card & with a five dollar bill & i never understood you then & and i guess i never will & daddy gave me a name & my dad he gave me a name & then he walked away & daddy gave me a name & then he walked away & my dad gave me a name & father of mine & tell me where have you been & i just closed my eyes & and the world disappeared & father of mine & tell me how do you sleep & with the children you abandoned & and the wife i saw you beat & i will never be safe & i will never be sane & i will always be weird inside & i will always be lame & now im a grown man & with a child of my own & and i swear im not going to let her know & all the pain i have known & then he walked away & daddy gave me a name & then he walked away & my dad gave me a name & then he walked away & daddy gave me a name & then he walked away & my dad gave me a name & then he walked away &,,,,
the crystals,da doo ron ron,i met him on a monday and my heart stood still & da do ronronron da do ronron & somebody told me that his name was bill & da do ronronron da do ronron & yeah my heart stood still & yes his name was bill & and when he walked me home & da do ronronron da do ronron & i knew what he was doing when he caught my eye & da do ronronron da do ronron & he looked so quiet but my oh my & da do ronronron da do ronron & yeah he caught my eye & yes oh my oh my & and when he walked me home & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron & he picked me up at seven and he looked so fine & da do ronronron da do ronron & someday soon im gonna make him mine & da do ronronron da do ronron & yeah he looked so fine & yes ill make him mine & and when he walked me home & da do ronronron da do ronron & yeahyeahyeahyeah & dadoronron & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron & da do ronronron da do ronron &,,,,
blur,country house,city dweller successful fella thought to himself & oops ive got a lot of money & caught in a rat race terminally & im a professional cynic but my hearts not in it & im payin the price of livin life at the limit & caught up in the centurys anxiety & yes it preys on him & hes gettin thin try the simple life & he lives in a house & a very big house in the country & watchin afternoon repeats & and the food he eats in the country & he takes all manner of pills & and piles up analyst bills in the country & oh its like an animal farm & thats the rural charm in the country & hes got morning glory and lifes a different story & everythings going jackanory & touched with his own mortality & hes reading balzac knocking back prozac & its a helping hand that makes you feel wonderfully blind & oh its a centurys remedy & for the faint at heart & a new start try the simple life & he lives in a house & a very big house in the country & hes got a fog in his chest & so he needs a lot of rest in the country & he doesnt drink smoke laugh & takes herbal baths in the country & you should come to no harm & on the animal farm in the country & in the country in the country in the country & blow blow me out i am so sad i dont know why & blow blow me out i am so sad i dont know why & oh he lives in a house & a very big house in the country & watchin afternoon repeats & and the food he eats in the country & he takes all manner of pills & and piles up analyst bills in the country & oh its like an animal farm & thats the rural charm in the country & oh he lives in a house & a very big house in the country & hes got a fog in his chest & so he needs a lot of rest in the country & he doesnt drink smoke laugh & takes herbal baths in the country & you should come to no harm & on the animal farm in the country &,,,,
blur,tender,tender is the night & lying by your side & tender is the touch & of someone that you love too much & tender is the day & the demons go away & lord i need to find & someone who can heal my mind & come on come on come on & get through it & come on come on come on & loves the greatest thing & come on come on come on & get through it & come on come on come on & loves the greatest thing & that we have & im waiting for that feeling & im waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & tender is the ghost & the ghost i love the most & hiding from the sun & waiting for the night to come & tender is my heart & im screwing up my life & lord i need to find & someone who can heal my mind & come on come on come on & get through it & come on come on come on & loves the greatest thing & come on come on come on & get through it & come on come on come on & loves the greatest thing & that we have & im waiting for that feeling & im waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & come on come on come on & get through it & come on come on come on & loves the greatest thing & come on come on come on & get through it & come on come on come on & loves the greatest thing & that we have & im waiting for that feeling & im waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & tender is the night & lying by your side & tender is the touch & of someone that you love too much & tender is my heart you know & im screwing up my life & oh lord i need to find & someone who can heal my mind & come on come on come on & get through it & come on come on come on & loves the greatest thing & come on come on come on & get through it & come on come on come on & loves the greatest thing & that we have & im waiting for that feeling & im waiting for that feeling & waiting for that feeling to come & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby & oh why & oh my & oh my baby & oh my baby &,,,,
blur,song 2,woohoo & woohoo & woohoo & woohoo & i got my head checked & by a jumbo jet & it wasnt easy & but nothing is & no & woohoo & when i feel heavymetal & and im pins and im needles & well i lie and im easy & all the time but im never sure & why i need you & pleased to meet you & i got my head down & when i was young & its not my problem & its not my problem & woohoo & when i feel heavymetal & and im pins and im needles & well i lie and im easy & all the time but i am never sure & why i need you & pleased to meet you & yeah yeah & yeah yeah & yeah yeah & oh yeah &,,,,
blur,charmless man,i met him in a crowded room & where people go to drink away their gloom & he sat me dawn and so began the story of a charmless man & educated the expensive way he knows his claret from a beaujolais & i think hed like to have been ronnie kray & but then nature didnt make him that way & he thinks hes educated airs those family shares & will protect him that we will respect him & he moves in circles of friends & who just pretend that they like him & he does the same to them and when you put it all together & theres the model of a charmless man & he knows the swingers and their cavalry & says he can get in anywhere for free & i began to go a little cross eyed & and from this charmless man i just had to hide & he talks at speed he gets nosebleeds & he doesnt see his days & are tumbling down upon him & and yet he tries so hard to please & hes just so keen for you to listen & but no one is listening & and when you put it all together & theres the model of a charmless man &,,,,
george benson,on broadway,they say the neon lights are bright on broadway & they say theres always magic in the air & but when youre walkin down the street & and you aint had enough to eat & the glitter rubs right off and youre nowhere & they say the women treat you fine on broadway & but lookin at them just gives me the blues & cause how ya gonna make some time & when all you got is one thin dime & and one thin dime wont even shine your shoes & they say that i wont last too long on broadway & ill catch a grey hound bus for home they all say & but theyre dead wrong i know they are & cause i can play this here guitar & and i wont quit till im a star on broadway &,,,,
george benson,turn your love around,turn your love around & george benson & youve got thelove & youve got the power & but you just dont understand & girl youve been charging by the hour & for your love & im tryin to show how much i love you & still believe in romance & youre taking way too many chances & with my love & i remember & when you used to be & the talk of the town & all you get is lonely & turn your love around & dont you turn me down & i can show you how & turn your love around & without the woman i can make it & but i need the girl to stay & oh dont you let the lady take it & away & when all i needs a taste of yesterday & but you stay at home & all they get is lonely & turn your love around & dont you turn me down & i can show you how & turn your love around & oh girl you know me & im alone until you show me & that youre still in love with me & were gonna make it & were gonna take it & back where we belong & turn your love around & dont you turn me down & i can show you how & turn your love around & turn your love around & this time the girl became a woman & dont you turn me down & every woman needs a man & i can show you how & i love the girl i love the woman & turn your love around & turn your love around & this time the girl became a woman & dont you turn me down & every woman needs a man & i can show you how & i love the girl i love the woman & turn your love around & turn your love around & this time the girl became a woman & dont you turn me down & every woman needs a man & i can show you how & fade out &,,,,
george benson,this masquerade,are we really happy here & with this lonely game we play & looking for words to say & searching but not finding & understanding anywhere & were lost in a masquerade & both afraid to say were just to far away & from being close together from the start & we tried to talk it over but the words got in the way & were lost inside this lonely game we play & thoughts of leaving disappear & every time i see your eyes & no matter how hard i try & to understand the reasons & why we carry on this way & were lost in a masquerade &,,,,
george benson,give me the night,whenever dark has fallen & you know the spirit of the party & starts to come alive & until the day is dawning & you can throw out all your blues & and hit the city lights & cause theres music in the air & and lots of loving everywhere & so gimme the night gimme the night & you need the evening action & a place to dine a glass of wine & a little late romance & its a chain reaction & youll see the people of the world & coming out to dance & cause theres music in the air & and lots of loving everywhere & so gimme the night gimme the night & so come on out tonight & and well lead the others & on a ride through paradise & and if you feel all right & then we can be lovers cause i see that & starlight look in your eyes & dont you know we can fly & just gimme the night gimme the night & and if we stay together & well feel the rhythm of the evening & taking us up high & never mind the weather & well be dancing in the street & until the morning light & cause theres music in the air & and lots of loving everywhere & so gimme the night gimme the night &,,,,
a,a,hey were gonna be around & hey were gonna work it out & hey theres nothing to fight about & today were gonna be around & you hardly know me you say im your best friend & everythings ace itll work out in the end & say that you love us i dont believe & that you want me to stay & youre hoping ill go away & hey im gonna be around & hey im gonna work it out & hey theres plenty to fight about & no way im ever going down & you hardly know me you say im your best friend & everythings ace itll work out in the end & say that you love us i dont believe & that you want me to stay & youre hoping ill go away & you follow me here follow me there & you mess me around like you think that i care & you think that i need you you think that you know me & you can tell me all the things you want to say & cause ill get better anyway & follow me here follow me there & mess me around like you think that i care & mess me around like you think that i care & mess me around like you think that i care & you think that i need you think that you own me & dont think i see ya dont think you know me & follow me here follow me there & mess me around like you think that i care & hey im gonna be around & hey im gonna work it out & hey theres plenty to fight about & today were gonna be around & hey &,,,,
abc,poison arrow,if i were to say to you & can you keep a secret & would you know just what to do & or where to keep it & then i say i love you & and foul the situation & hey girl i thought we were & the right combination & who broke my heart & you did you did & bow to the target & blame cupid cupid & you think youre smart & stupid stupid & shoot that poison arrow though to my heart & shoot that poison arrow & no rhythm in cymbals & no tempo in drums & love on arrival & she comes when she comes & right on the target & but wide of the mark & what i thought was the fire & was only the spark & the sweetest melody & is an unheard refrain & so lower your sights yeah but raise your aim & raise your aim & i thought you loved me but it seems you dont care & i care enough to know i can never love you & who broke my heart & you did you did & bow to the target & blame cupid cupid & you think youre smart & stupid stupid & right from the start & when you knew we would part & shoot that poison arrow though to my heart & shoot that poison arrow &,,,,
abc,the look of love,when your world is full of strange arrangements & and gravity wont pull you through & you know youre missing out on something & well that something depends on you & all im saying & it takes a lot to love you & all im doing & you know its true & all i mean now & theres one thing yes one thing that turns this gray sky to blue & thats the look thats the look & the look of love & thats the look thats the look & the look of love & thats the look thats the look & the look of love & when your girl has left you out on the pavement (goodbye) & then your dreams fall apart at the seams & your reason for livings your reason for leaving & dont ask me what it means & who got the look & i dont know the answer to that question & wheres the look & if i knew i would tell you & whats the look & look for your information & yes theres one thing the one thing that still holds true & whats that & thats the look thats the look & the look of love & thats the look thats the look & the look of love & thats the look thats the look & the look of love & if you judge a book by the cover & then you judge the look by the lover & i hope youll soon recover & me i go from one extreme to another & and all my friends just might ask me & they say martin maybe one day youll find true love & and i say maybe there must be a solution to & the one thing the one thing we cant find & thats the look thats the look & sisters and brothers & thats the look thats the look & should help each other & thats the look thats the look & oh oh oh & heavens above & thats the look thats the look & hip hip hooray aye & thats the look thats the look & yippie aiy yippee yaye & thats the look thats the look & be lucky in love & look of love &,,,,
